threshold,precision,recall,f1,flagged_rate,expected_cost_per_1000,tp,fp,fn,tn
0.19,0.36665211697948497,0.5585106382978723,0.4426877470355731,0.10182222222222222,359.59999999999997,840,1451,664,19545
0.2,0.397838394235718,0.5139627659574468,0.44850594720046416,0.08635555555555556,376.88888888888886,773,1170,731,19826
0.21,0.397838394235718,0.5139627659574468,0.44850594720046416,0.08635555555555556,376.88888888888886,773,1170,731,19826
0.22,0.397838394235718,0.5139627659574468,0.44850594720046416,0.08635555555555556,376.88888888888886,773,1170,731,19826
0.23,0.397838394235718,0.5139627659574468,0.44850594720046416,0.08635555555555556,376.88888888888886,773,1170,731,19826
0.24,0.397838394235718,0.5139627659574468,0.44850594720046416,0.08635555555555556,376.88888888888886,773,1170,731,19826
0.25,0.43517329910141206,0.4507978723404255,0.44284781188765515,0.06924444444444444,406.22222222222223,678,880,826,20116
0.26,0.43517329910141206,0.4507978723404255,0.44284781188765515,0.06924444444444444,406.22222222222223,678,880,826,20116
0.27,0.43517329910141206,0.4507978723404255,0.44284781188765515,0.06924444444444444,406.22222222222223,678,880,826,20116
0.28,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.29,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.3,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.31,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.32,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.33,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.34,0.44673539518900346,0.4321808510638298,0.43933761405880367,0.06466666666666666,415.3333333333333,650,805,854,20191
0.35000000000000003,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.36,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.37,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.38,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.39,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.4,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.41000000000000003,0.5436507936507936,0.2732712765957447,0.363716814159292,0.0336,501.1111111111111,411,345,1093,20651
0.42,0.5973534971644613,0.21010638297872342,0.3108706345302509,0.02351111111111111,537.4666666666667,316,213,1188,20783
0.43,0.5973534971644613,0.21010638297872342,0.3108706345302509,0.02351111111111111,537.4666666666667,316,213,1188,20783
0.44,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.45,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.46,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.47000000000000003,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.48,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.49,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.5,0.6579634464751958,0.1675531914893617,0.2670906200317965,0.017022222222222223,562.2666666666667,252,131,1252,20865
0.51,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.52,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.53,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.54,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.55,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.56,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.5700000000000001,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.58,0.6784660766961652,0.1529255319148936,0.24959305480195335,0.015066666666666667,571.0666666666666,230,109,1274,20887
0.59,0.726457399103139,0.1077127659574468,0.18760856977417487,0.009911111111111112,599.1555555555556,162,61,1342,20935
0.6,0.726457399103139,0.1077127659574468,0.18760856977417487,0.009911111111111112,599.1555555555556,162,61,1342,20935
0.61,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.62,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.63,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.64,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.65,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.66,0.7293577981651376,0.10571808510638298,0.18466898954703834,0.00968888888888889,600.4000000000001,159,59,1345,20937
0.67,0.7302325581395349,0.10438829787234043,0.18266433973240256,0.009555555555555555,601.2444444444445,157,58,1347,20938
0.68,0.7302325581395349,0.10438829787234043,0.18266433973240256,0.009555555555555555,601.2444444444445,157,58,1347,20938
0.6900000000000001,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.7000000000000001,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
0.71,0.8108108108108109,0.0398936170212766,0.07604562737642585,0.003288888888888889,642.4,60,14,1444,20982
